,,P41,P42,P43,P44,P45,P46,Baro,T1,T2,T3
,,1,2,3,4,5,6,,,,
,,[PSI],[PSI],[PSI],[PSI],[PSI],[PSI],[in.hga],[°C],[°C],[°C]
6/7/2018,7:13:20 PM,23.069,14.809,22.954,22.528,19.311,17.987,28.837,28.841,28.923,28.653
6/7/2018,7:30:00 PM,23.032,14.728,22.941,22.502,19.273,17.947,28.83,28.875,28.993,28.684
6/7/2018,7:46:40 PM,23.023,14.668,22.917,22.507,19.24,17.88,28.835,28.848,28.96,28.618
6/7/2018,8:03:20 PM,22.997,14.558,22.882,22.475,19.191,17.804,28.836,29.039,29.149,28.878
6/7/2018,8:20:00 PM,23.017,14.476,22.868,22.462,19.116,17.759,28.83,29.059,29.214,28.88
6/7/2018,8:36:40 PM,22.972,14.413,22.857,22.405,19.063,17.707,28.826,29.065,29.156,28.875
6/7/2018,8:53:20 PM,22.964,14.328,22.822,22.394,19.025,17.599,28.83,29.171,29.304,28.952
6/7/2018,9:10:00 PM,22.946,14.228,22.812,22.358,18.961,17.548,28.836,29.092,29.25,28.916
6/7/2018,9:26:40 PM,22.928,14.142,22.799,22.33,18.952,17.497,28.837,29.116,29.267,28.939
6/7/2018,9:43:20 PM,22.907,14.059,22.792,22.321,18.878,17.407,28.844,29.211,29.322,29.036
6/7/2018,10:00:00 PM,22.861,14.003,22.747,22.288,18.831,17.359,28.848,29.284,29.388,29.128
6/7/2018,10:16:40 PM,22.859,13.9,22.725,22.27,18.767,17.293,28.851,29.273,29.353,29.165
6/7/2018,10:33:20 PM,22.82,13.81,22.705,22.245,18.726,17.233,28.846,29.324,29.447,29.186
6/7/2018,10:50:00 PM,22.794,13.721,22.678,22.201,18.664,17.154,28.847,29.254,29.314,28.999
6/7/2018,11:06:40 PM,22.806,13.656,22.67,22.214,18.633,17.085,28.848,29.164,29.275,29.029
6/7/2018,11:23:20 PM,22.771,13.566,22.61,22.151,18.541,17.051,28.851,29.293,29.352,29.139
6/7/2018,11:40:00 PM,22.741,13.467,22.58,22.12,18.498,16.94,28.855,29.332,29.427,29.168
6/7/2018,11:56:40 PM,22.731,13.389,22.566,22.077,18.456,16.886,28.852,29.051,29.108,28.806
6/8/2018,12:13:20 AM,22.655,13.297,22.513,22.043,18.378,16.826,28.846,29.003,29.11,28.767
6/8/2018,12:30:00 AM,22.659,13.224,22.506,22.025,18.35,16.742,28.845,28.905,29.017,28.718
6/8/2018,12:46:40 AM,22.623,13.122,22.468,21.978,18.266,16.705,28.845,28.947,29.053,28.7
